timestep,day,hour,activity_healthy,activity_parkinson
66,2,9.0,0.965,0.2898
67,2,9.5,0.8822,0.6454
68,2,10.0,1.0457,0.2559
69,2,10.5,1.1796,0.5726
70,2,11.0,1.1219,0.6825
71,2,11.5,2.0019,0.4942
72,2,12.0,2.1628,0.6483
73,2,12.5,1.086,0.6519
74,2,13.0,1.7318,0.7184
75,2,13.5,0.9917,0.4068
76,2,14.0,0.6292,0.4162
77,2,14.5,1.7409,0.5173
78,2,15.0,0.7864,0.2417
79,2,15.5,0.2732,0.3116
80,2,16.0,0.3338,0.1452
81,2,16.5,0.38,0.1726
82,2,17.0,0.0009,0.1796
83,2,17.5,0.4176,0.3206
84,2,18.0,0.0,0.0
85,2,18.5,0.0,0.0
86,2,19.0,0.0,0.0
87,2,19.5,0.0,0.0
88,2,20.0,0.0,0.8028
89,2,20.5,0.0,0.0
90,2,21.0,0.0,0.0
91,2,21.5,0.0,0.233
92,2,22.0,0.0,0.0
93,2,22.5,0.0,0.0
94,2,23.0,0.0,0.0
95,2,23.5,0.0,0.0
96,3,0.0,0.0,0.0
97,3,0.5,0.0,0.0
98,3,1.0,0.0,0.0
99,3,1.5,0.0,0.0
100,3,2.0,0.0,0.0
101,3,2.5,0.0,0.0
102,3,3.0,0.0,0.0
103,3,3.5,0.0,0.0
104,3,4.0,0.0,0.2808
105,3,4.5,0.0,0.0
106,3,5.0,0.0,0.0
107,3,5.5,0.0,0.0
108,3,6.0,0.1959,0.0
109,3,6.5,0.0398,0.0
110,3,7.0,0.3543,0.0
111,3,7.5,0.5941,0.1289
112,3,8.0,0.7431,0.1364
113,3,8.5,0.4878,0.25
114,3,9.0,2.5683,0.3543
115,3,9.5,0.8508,0.4798
116,3,10.0,0.8227,0.455
117,3,10.5,0.8651,0.4997
118,3,11.0,1.0685,0.7236
119,3,11.5,0.9384,0.4557
120,3,12.0,0.7318,0.2812
121,3,12.5,2.28,0.6384
122,3,13.0,0.9023,0.7583
123,3,13.5,0.8141,0.49
124,3,14.0,0.6312,0.5589
125,3,14.5,0.9454,0.2983
126,3,15.0,0.373,1.3668
127,3,15.5,0.3539,0.3999
128,3,16.0,2.3175,0.3068
129,3,16.5,0.567,0.1104
130,3,17.0,0.4553,0.374
131,3,17.5,0.0,0.0912
132,3,18.0,1.8385,0.1395
133,3,18.5,0.0,0.0
134,3,19.0,1.4038,0.0016
135,3,19.5,0.0,0.0
136,3,20.0,0.0,0.0
137,3,20.5,0.0,0.0983
138,3,21.0,0.0,0.0
139,3,21.5,0.0,0.0
140,3,22.0,0.0,0.0
141,3,22.5,0.0,0.0
142,3,23.0,0.0,0.0
143,3,23.5,0.0,0.0
144,4,0.0,0.0,0.0
145,4,0.5,0.0,0.0
146,4,1.0,0.0,0.0
147,4,1.5,0.0,0.0
148,4,2.0,0.0,0.0
149,4,2.5,0.0,0.0
150,4,3.0,0.0,0.0
151,4,3.5,0.0,0.0
152,4,4.0,0.0,0.0
153,4,4.5,0.0,0.0
154,4,5.0,0.0,0.0
155,4,5.5,0.0,0.1965
156,4,6.0,0.0213,1.3007
157,4,6.5,0.2076,0.0
158,4,7.0,0.3147,1.1767
159,4,7.5,0.3604,0.2952
160,4,8.0,1.0309,0.4639
161,4,8.5,0.7739,0.5231
162,4,9.0,0.8241,1.8693
163,4,9.5,0.6989,0.3791
164,4,10.0,2.3003,0.3041
165,4,10.5,0.9138,0.6164
166,4,11.0,1.1401,0.2357
167,4,11.5,0.9873,0.2912
168,4,12.0,1.262,0.4046
169,4,12.5,0.8752,0.5334
170,4,13.0,0.9872,0.4348
171,4,13.5,0.6663,0.4669
172,4,14.0,0.8658,0.4401
173,4,14.5,1.1984,0.4317
174,4,15.0,0.7837,0.1984
175,4,15.5,0.8654,0.2535
176,4,16.0,0.6492,0.3366
177,4,16.5,0.6008,0.2334
178,4,17.0,0.3581,0.2934
179,4,17.5,0.2785,0.0
180,4,18.0,0.0,0.1359
181,4,18.5,0.0772,0.1547
182,4,19.0,0.0,0.0
183,4,19.5,0.0,0.0
184,4,20.0,0.0,0.0
185,4,20.5,0.0,0.0
186,4,21.0,0.0,0.0
187,4,21.5,0.0,0.0
188,4,22.0,0.0,0.0
189,4,22.5,0.0,0.0
190,4,23.0,0.0,0.0
191,4,23.5,0.0,0.0
192,5,0.0,0.0,0.0
193,5,0.5,0.0,0.0
194,5,1.0,0.0,0.0
195,5,1.5,0.0,0.0
196,5,2.0,0.0,0.0
197,5,2.5,0.0,0.0
198,5,3.0,0.0,0.0
199,5,3.5,0.0,0.0
200,5,4.0,0.0,0.0
201,5,4.5,0.0,0.0
202,5,5.0,0.0,0.0
203,5,5.5,0.0,0.0
204,5,6.0,0.3151,0.2772
205,5,6.5,0.1246,0.2036
206,5,7.0,0.3917,0.1142
207,5,7.5,0.4112,0.0
208,5,8.0,0.6197,0.1051
209,5,8.5,0.5935,1.3044
210,5,9.0,0.8186,0.2878
211,5,9.5,0.5669,0.3936
212,5,10.0,0.7039,0.3149
213,5,10.5,1.0327,0.499
214,5,11.0,0.96,0.4142
215,5,11.5,0.9571,0.2628
216,5,12.0,1.7132,0.6195
217,5,12.5,1.0667,0.4099
218,5,13.0,0.8769,0.2502
219,5,13.5,1.0004,0.6754
220,5,14.0,1.2493,0.4216
221,5,14.5,0.7323,0.3476
222,5,15.0,0.8548,1.0893
223,5,15.5,0.7694,0.292
224,5,16.0,0.3354,0.3651
225,5,16.5,0.5085,0.0
226,5,17.0,0.1029,0.0
227,5,17.5,1.7106,0.147
228,5,18.0,0.0,0.2238
229,5,18.5,0.0,0.0
230,5,19.0,0.0,0.0
231,5,19.5,0.0611,0.0
232,5,20.0,0.0,0.0
233,5,20.5,0.0,0.0
234,5,21.0,0.0,0.0
235,5,21.5,0.0,0.0
236,5,22.0,0.0,0.0
237,5,22.5,0.0,0.0
238,5,23.0,0.0,0.0
239,5,23.5,0.0,0.0
240,6,0.0,0.0,0.0
241,6,0.5,0.0,0.0
242,6,1.0,0.0,0.4209
243,6,1.5,0.0,0.0
244,6,2.0,0.0,0.0
245,6,2.5,0.0,0.0
246,6,3.0,0.0,0.0
247,6,3.5,0.0,0.0
248,6,4.0,0.0,0.0
249,6,4.5,0.0,0.0
250,6,5.0,0.0,0.0
251,6,5.5,0.0,0.0
252,6,6.0,0.0,0.1721
253,6,6.5,0.144,0.0
254,6,7.0,0.3204,0.1142
255,6,7.5,0.5117,0.1415
256,6,8.0,0.3652,0.1055
257,6,8.5,0.6567,0.3604
258,6,9.0,0.7548,0.411
259,6,9.5,0.7905,1.9657
260,6,10.0,0.8885,0.3992
261,6,10.5,0.9934,0.4174
262,6,11.0,1.2958,0.3951
263,6,11.5,0.842,0.7189
264,6,12.0,2.7166,0.6511
265,6,12.5,1.3673,0.4897
266,6,13.0,1.6063,0.5803
267,6,13.5,0.7151,0.3741
268,6,14.0,2.5525,0.7412
269,6,14.5,0.8875,0.3079
270,6,15.0,0.8198,0.2966
271,6,15.5,0.6298,0.2487
272,6,16.0,0.361,0.5052
273,6,16.5,0.3553,0.2135
274,6,17.0,0.1852,0.2921
275,6,17.5,0.1507,0.0487
276,6,18.0,0.0,0.0
277,6,18.5,0.0,0.0511
278,6,19.0,0.0,0.0
279,6,19.5,0.0,0.0
280,6,20.0,0.0,0.0
281,6,20.5,0.5092,0.0
282,6,21.0,0.0,0.0
283,6,21.5,0.0,0.0
284,6,22.0,0.0,0.0
285,6,22.5,0.0,0.0
286,6,23.0,0.0,0.179
287,6,23.5,0.0,0.0
288,7,0.0,0.0,0.401
289,7,0.5,0.0,0.0
290,7,1.0,0.0,0.0
291,7,1.5,0.0,0.0
292,7,2.0,0.0,0.0
293,7,2.5,0.0,0.0
294,7,3.0,0.0,0.0
295,7,3.5,0.0,0.0
296,7,4.0,0.0,0.0
297,7,4.5,0.0,0.0
298,7,5.0,0.0,0.0
299,7,5.5,0.0,0.0
300,7,6.0,0.0468,0.017
301,7,6.5,0.1015,0.0166
302,7,7.0,0.0,0.0735
303,7,7.5,1.3652,0.0
304,7,8.0,0.4244,0.0
305,7,8.5,0.6115,0.2052
306,7,9.0,2.4701,0.1788
307,7,9.5,0.8358,0.3329
308,7,10.0,0.8822,2.0002
309,7,10.5,0.9283,0.3507
310,7,11.0,0.9457,0.3221
311,7,11.5,1.1488,0.5392
312,7,12.0,1.1449,0.3857
313,7,12.5,1.1003,0.3518
314,7,13.0,1.4641,2.3036
315,7,13.5,0.8338,0.5048
316,7,14.0,0.8091,0.7493
317,7,14.5,0.6411,0.6387
318,7,15.0,0.7725,0.164
319,7,15.5,0.5056,0.1057
320,7,16.0,0.0952,0.2597
321,7,16.5,0.2007,0.2749
322,7,17.0,0.2697,0.1097
323,7,17.5,0.282,0.3911
324,7,18.0,0.0,0.1766
325,7,18.5,0.0,0.1807
326,7,19.0,0.0,0.0
327,7,19.5,0.0,0.0
328,7,20.0,0.0,0.0
329,7,20.5,0.0,0.0
330,7,21.0,0.0,0.0
331,7,21.5,0.0,1.4877
332,7,22.0,0.0,0.0
333,7,22.5,0.0,0.0
334,7,23.0,0.0,0.0
335,7,23.5,0.0,0.0
336,8,0.0,0.0,0.2369
337,8,0.5,0.0,0.0
338,8,1.0,0.0,0.0
339,8,1.5,0.0,0.0
340,8,2.0,0.0,0.0
341,8,2.5,0.0,0.0
342,8,3.0,0.0,0.0
343,8,3.5,0.0,0.0
344,8,4.0,0.0,0.0
345,8,4.5,0.0,0.0
346,8,5.0,0.0,0.0
347,8,5.5,0.0,0.0
348,8,6.0,0.0746,0.0
349,8,6.5,0.1661,0.0882
350,8,7.0,0.0,0.2046
351,8,7.5,0.3272,0.0734
352,8,8.0,0.4974,0.4025
353,8,8.5,0.7185,0.3213
354,8,9.0,0.8503,0.5781
355,8,9.5,0.8077,0.422
356,8,10.0,1.021,1.9071
357,8,10.5,0.9019,0.4209
358,8,11.0,0.8373,0.7044
359,8,11.5,0.8513,0.1802
360,8,12.0,1.0814,0.4201
361,8,12.5,0.6977,0.45
362,8,13.0,1.0676,0.2534
363,8,13.5,0.7579,0.3427
364,8,14.0,0.8121,0.1072
365,8,14.5,1.625,0.4252
366,8,15.0,2.8554,0.1428
367,8,15.5,0.3177,0.3599
368,8,16.0,0.3791,0.2107
369,8,16.5,0.39,0.0664
370,8,17.0,0.1694,0.0
371,8,17.5,0.2598,0.0
372,8,18.0,0.0,0.0466
373,8,18.5,0.0,0.0
374,8,19.0,0.0,0.0
375,8,19.5,0.0,0.0
376,8,20.0,0.0,0.0
377,8,20.5,0.0,0.0
378,8,21.0,0.0,0.0
379,8,21.5,0.0,0.0
380,8,22.0,0.0,0.0
381,8,22.5,0.0,0.0
382,8,23.0,0.0,0.0
383,8,23.5,0.0,0.0
384,9,0.0,0.0,0.0
385,9,0.5,0.0,0.0
386,9,1.0,0.0,0.0
387,9,1.5,0.0,0.0
388,9,2.0,0.0,0.0
389,9,2.5,0.0,0.0
390,9,3.0,0.0,0.0
391,9,3.5,0.0,0.0
392,9,4.0,0.0,0.0
393,9,4.5,0.0,0.0
394,9,5.0,0.0,0.0
395,9,5.5,0.0,0.0
396,9,6.0,0.3585,0.0
397,9,6.5,0.1673,0.029
398,9,7.0,0.4317,0.3507
399,9,7.5,0.349,0.208
400,9,8.0,0.4511,0.2494
401,9,8.5,0.6041,0.4091
402,9,9.0,0.7605,0.1118
403,9,9.5,0.9208,0.5051
404,9,10.0,1.8794,0.5703
405,9,10.5,0.8218,0.598
406,9,11.0,0.8057,1.8797
407,9,11.5,0.9799,0.3104
408,9,12.0,1.0859,0.3523
409,9,12.5,1.0601,0.5328
410,9,13.0,2.4663,0.5635
411,9,13.5,0.8339,0.6534
412,9,14.0,0.888,0.6612
413,9,14.5,0.8791,0.5274
414,9,15.0,1.3503,0.3586
415,9,15.5,0.6256,0.3441
416,9,16.0,0.4774,0.2147
417,9,16.5,0.52,1.5115
418,9,17.0,0.1931,0.2186
419,9,17.5,0.1584,0.0976
420,9,18.0,0.0592,0.0
421,9,18.5,0.0,0.0917
422,9,19.0,1.2682,0.0
423,9,19.5,0.0,0.0
424,9,20.0,0.0,0.0
425,9,20.5,0.0,0.0
426,9,21.0,0.9243,0.0
427,9,21.5,0.0,0.0
428,9,22.0,0.0,0.0
429,9,22.5,0.0,0.0
430,9,23.0,0.0,0.0
431,9,23.5,0.0,0.0
432,10,0.0,0.0,0.0
433,10,0.5,0.0,0.0
434,10,1.0,0.0,0.0
435,10,1.5,0.0,0.0
436,10,2.0,0.0,0.0
437,10,2.5,0.0,0.0
438,10,3.0,0.0,0.0
439,10,3.5,0.0,0.0
440,10,4.0,0.0,0.0
441,10,4.5,0.0,0.0
442,10,5.0,0.0,0.0
443,10,5.5,0.0,0.0
444,10,6.0,0.0736,0.0631
445,10,6.5,0.0,0.3078
446,10,7.0,0.1805,0.0
447,10,7.5,0.3273,0.2362
448,10,8.0,0.5398,0.3651
449,10,8.5,0.5697,0.0504
450,10,9.0,0.7739,0.5994
451,10,9.5,0.8081,0.2399
452,10,10.0,2.8277,0.3828
453,10,10.5,0.6672,0.519
454,10,11.0,1.2145,0.4481
455,10,11.5,1.2041,0.6162
456,10,12.0,1.0075,0.5226
457,10,12.5,1.089,0.5812
458,10,13.0,1.0569,0.4942
459,10,13.5,1.5247,0.6827
460,10,14.0,1.2115,0.1307
461,10,14.5,0.9101,0.4513
462,10,15.0,1.4867,0.3085
463,10,15.5,0.7665,0.1605
464,10,16.0,0.5142,0.1283
465,10,16.5,0.3948,0.1055
466,10,17.0,0.1436,0.2162
467,10,17.5,0.0758,0.0
468,10,18.0,0.0,0.0
469,10,18.5,0.1253,0.0
470,10,19.0,0.0,0.0
471,10,19.5,0.0,0.4059
472,10,20.0,0.0,0.1132
473,10,20.5,0.0,0.0
474,10,21.0,0.0,1.7812
475,10,21.5,0.2957,0.0
476,10,22.0,0.0,0.0
477,10,22.5,0.0,0.0
478,10,23.0,0.0,0.0
479,10,23.5,0.0,0.0
480,11,0.0,0.0,0.0
481,11,0.5,0.0,0.0
482,11,1.0,0.0,0.0
483,11,1.5,0.0,0.0
484,11,2.0,0.0,0.0
485,11,2.5,0.0,0.0
486,11,3.0,0.0,0.0
487,11,3.5,0.0,0.0
488,11,4.0,0.0,0.0
489,11,4.5,0.0,0.0
490,11,5.0,0.0,0.0
491,11,5.5,0.0,0.0
492,11,6.0,1.3611,0.0
493,11,6.5,0.291,0.0
494,11,7.0,0.102,0.0
495,11,7.5,0.436,0.1827
496,11,8.0,0.6133,0.5379
497,11,8.5,0.7139,2.341
498,11,9.0,0.6773,0.3416
499,11,9.5,0.8386,0.1686
500,11,10.0,2.2256,0.3328
501,11,10.5,0.7481,0.4627
502,11,11.0,1.1135,0.4496
503,11,11.5,0.9075,0.632
504,11,12.0,1.207,0.4762
505,11,12.5,1.9391,0.6
506,11,13.0,2.0996,0.4658
507,11,13.5,0.8997,0.4335
508,11,14.0,0.8231,0.6219
509,11,14.5,0.6627,0.2839
510,11,15.0,0.7823,0.3111
511,11,15.5,0.537,0.1105
512,11,16.0,0.7448,1.1916
513,11,16.5,0.5118,0.3518
514,11,17.0,0.1268,0.2316
515,11,17.5,0.2844,0.1754
516,11,18.0,0.0994,0.158
517,11,18.5,0.0,0.0285
518,11,19.0,0.0,0.0
519,11,19.5,0.0,0.0
520,11,20.0,0.0,0.0
521,11,20.5,0.0,0.0
522,11,21.0,0.0,0.0
523,11,21.5,0.0,0.0
524,11,22.0,0.0,0.0
525,11,22.5,0.0,0.0
526,11,23.0,0.0,0.0
527,11,23.5,0.0,0.0
528,12,0.0,0.0,0.0
529,12,0.5,0.0,0.0
530,12,1.0,0.0,0.0
531,12,1.5,0.0,0.0
532,12,2.0,0.0,0.0
533,12,2.5,0.0,0.0
534,12,3.0,0.0,0.0
535,12,3.5,0.0,0.0
536,12,4.0,0.0,0.0
537,12,4.5,0.0,0.0
538,12,5.0,0.0,0.0
539,12,5.5,0.0,0.0
540,12,6.0,0.0673,0.0389
541,12,6.5,0.2993,0.0
542,12,7.0,0.2744,0.1135
543,12,7.5,0.4619,0.1975
544,12,8.0,2.0006,0.4259
545,12,8.5,1.644,0.6486
546,12,9.0,1.5901,0.2366
547,12,9.5,2.7069,0.2832
548,12,10.0,0.8361,0.4624
549,12,10.5,0.8257,0.4382
550,12,11.0,1.0136,0.5995
551,12,11.5,1.1734,0.3774
552,12,12.0,1.0167,0.637
553,12,12.5,0.9885,0.6371
554,12,13.0,0.8399,0.4436
555,12,13.5,0.5791,0.3686
556,12,14.0,1.0845,0.4602
557,12,14.5,0.8408,2.0062
558,12,15.0,0.3075,0.6524
559,12,15.5,0.5448,0.3255
560,12,16.0,0.5591,0.3689
561,12,16.5,0.3485,0.0013
562,12,17.0,1.9711,0.0
563,12,17.5,0.5131,0.1684
564,12,18.0,0.0263,0.0774
565,12,18.5,0.0,1.7141
566,12,19.0,0.0,0.0
567,12,19.5,0.0,0.0
568,12,20.0,0.0,0.0
569,12,20.5,0.0,0.0
570,12,21.0,0.0,0.0
571,12,21.5,0.0,0.0
572,12,22.0,0.0,0.0
573,12,22.5,0.0,0.0
574,12,23.0,0.0,0.0
575,12,23.5,0.0,0.0
576,13,0.0,0.0,0.0
577,13,0.5,0.0,0.0
578,13,1.0,0.0,0.0
579,13,1.5,0.0,0.0
580,13,2.0,0.0,0.0
581,13,2.5,0.0,0.0
582,13,3.0,0.0,0.3526
583,13,3.5,0.0,0.0
584,13,4.0,0.0,0.0
585,13,4.5,0.0,0.0
586,13,5.0,0.0,0.0
587,13,5.5,0.0,0.0
588,13,6.0,1.304,0.0
589,13,6.5,0.2218,0.075
590,13,7.0,1.3872,0.2126
591,13,7.5,0.6099,0.2713
592,13,8.0,0.5972,0.4452
593,13,8.5,0.406,0.3038
594,13,9.0,0.4957,0.4973
595,13,9.5,0.963,0.6527
596,13,10.0,1.101,0.2491
597,13,10.5,0.8882,0.5688
598,13,11.0,2.2033,0.3221
599,13,11.5,0.7657,0.2697
600,13,12.0,0.7084,2.5444
601,13,12.5,0.8153,0.666
602,13,13.0,0.9123,0.5615
603,13,13.5,0.8457,0.3904
604,13,14.0,0.8315,0.6585
605,13,14.5,0.7197,0.537
606,13,15.0,0.809,0.3637
607,13,15.5,0.8229,0.3772
608,13,16.0,0.5054,0.4431
609,13,16.5,0.6872,0.0
610,13,17.0,0.6183,0.0
611,13,17.5,0.0518,0.0826
612,13,18.0,0.0582,0.0476
613,13,18.5,0.0,0.0
614,13,19.0,0.0,0.0
615,13,19.5,0.0,0.0
616,13,20.0,0.0,0.0
617,13,20.5,0.0,0.0
618,13,21.0,0.0,0.0
619,13,21.5,0.0,0.0
620,13,22.0,0.0,0.0
621,13,22.5,0.0,0.0
622,13,23.0,0.0,0.0
623,13,23.5,0.0,0.0
624,14,0.0,0.0,0.0
625,14,0.5,0.0,0.0
626,14,1.0,0.0,0.0
627,14,1.5,0.0,0.0
628,14,2.0,0.0,0.0
629,14,2.5,0.0,0.0
630,14,3.0,0.0,0.1135
631,14,3.5,0.0,0.0
632,14,4.0,0.0,0.0
633,14,4.5,0.0,0.0
634,14,5.0,0.0,0.0
635,14,5.5,0.0,0.0
636,14,6.0,0.5854,0.1728
637,14,6.5,0.3757,0.0917
638,14,7.0,0.3007,0.2253
639,14,7.5,0.6288,0.3444
640,14,8.0,0.5616,0.5189
641,14,8.5,0.6375,0.2085
642,14,9.0,0.6814,0.248
643,14,9.5,0.8214,0.258
644,14,10.0,0.8278,0.3429
645,14,10.5,0.9027,0.3251
646,14,11.0,0.8666,0.4807
647,14,11.5,1.0303,0.4795
648,14,12.0,1.1893,0.5872
649,14,12.5,1.673,0.3171
650,14,13.0,0.9298,0.3849
651,14,13.5,0.7955,0.5159
652,14,14.0,0.5588,0.5378
653,14,14.5,0.8659,0.0492
654,14,15.0,0.9409,0.2632
655,14,15.5,0.9642,0.2663
656,14,16.0,0.7344,0.0
657,14,16.5,0.2521,0.2586
658,14,17.0,0.4351,0.31
659,14,17.5,1.0045,0.0
660,14,18.0,0.0,0.0
661,14,18.5,0.0,0.0776
662,14,19.0,0.0,0.0409
663,14,19.5,0.0,0.0
664,14,20.0,0.0,0.0
665,14,20.5,0.0,0.0
666,14,21.0,0.0,0.0
667,14,21.5,0.0,0.0
668,14,22.0,0.0,0.0
669,14,22.5,0.0,0.0
670,14,23.0,0.0,0.0
671,14,23.5,0.0,0.0
